COUNTRY,CITY,
AFGHANISTAN,BAGRAM , 
AFGHANISTAN,BAGRAM AIR BASE , 
AFGHANISTAN,BAMIYAN, 
AFGHANISTAN,BOST, 
AFGHANISTAN,CAMP BASTION, 
AFGHANISTAN,CHAKCHARAN, 
AFGHANISTAN,DARWAZ, 
AFGHANISTAN,FAIZABAD, 
AFGHANISTAN,FARAH, 
AFGHANISTAN,GARDEZ, 
AFGHANISTAN,GHAZNI, 
AFGHANISTAN,HERAT, 
AFGHANISTAN,JALALABAD, 
AFGHANISTAN,KABUL, 
AFGHANISTAN,KANDAHAR, 
AFGHANISTAN,KHOST, 
AFGHANISTAN,KHWAHAN, 
AFGHANISTAN,KUNDUZ, 
AFGHANISTAN,KURAN-O-MUNJAN, 
AFGHANISTAN,MAIMANA, 
AFGHANISTAN,MAZAR-I-SHARIF, 
AFGHANISTAN,NIMROZ, 
AFGHANISTAN,QALA NAU, 
AFGHANISTAN,SARDEH BAND, 
AFGHANISTAN,SHEGHNAN, 
AFGHANISTAN,TALUQAN, 
AFGHANISTAN,TIRINKOT, 
AFGHANISTAN,URGOON, 
AFGHANISTAN,URUZGAN, 
AFGHANISTAN,ZARANJ, 
ALBANIA,DURRËS, 
ALBANIA,SARANDA, 
ALBANIA,SHENGJIN, 
ALBANIA,TIRANA, 
ALBANIA,VLORA, 
ALGERIA,ADRAR, 
ALGERIA,ALGER, 
ALGERIA,ANNABA, 
ALGERIA,ARZEW, 
ALGERIA,BATNA, 
ALGERIA,BECHAR, 
ALGERIA,BEJAIA, 
ALGERIA,BENISAF, 
ALGERIA,BISKRA, 
ALGERIA,BORDJ BADJI MOKHTAR, 
ALGERIA,BOUSSAADA, 
ALGERIA,CHERCHELL, 
ALGERIA,COLLO, 
ALGERIA,CONSTANTINE, 
ALGERIA,DELLYS, 
ALGERIA,DJANET, 
ALGERIA,DJIDJELLI, 
ALGERIA,EL GOLEA, 
ALGERIA,EL OUED, 
ALGERIA,GARA DJEBILET, 
ALGERIA,GHARDAIA, 
ALGERIA,GHAZAOUET, 
ALGERIA,HASSI MESSAOUD, 
ALGERIA,HASSI R'MEL, 
ALGERIA,ILLIZI, 
ALGERIA,IN AMENAS, 
ALGERIA,IN GUEZZAM, 
ALGERIA,IN SALAH, 
ALGERIA,JIJEL, 
ALGERIA,KOUBA, 
ALGERIA,LAGHOUAT, 
ALGERIA,MASCARA, 
ALGERIA,MOSTAGANEM, 
ALGERIA,ORAN, 
ALGERIA,ORAN/TAFARAOUI, 
ALGERIA,OUARGLA, 
ALGERIA,SKIKDA, 
ALGERIA,TAMANRASSET, 
ALGERIA,TBESSA, 
ALGERIA,TENES, 
ALGERIA,TIARET, 
ALGERIA,TIMIMOUN, 
ALGERIA,TINDOUF, 
ALGERIA,TLEMCEN, 
ALGERIA,TOUGGOURT, 
AMERICAN SAMOA,FITIUTA, 
AMERICAN SAMOA,OFU, 
AMERICAN SAMOA,PAGO PAGO, 
AMERICAN SAMOA,TAU, 
ANDORRA,ANDORRA LA VELLA, 
ANGOLA,AMBRIZ, 
ANGOLA,ANDULO, 
ANGOLA,BAIA DOS TIGRES, 
ANGOLA,BARRA DO DANDE, 
ANGOLA,BENGUELA, 
ANGOLA,CABINDA, 
ANGOLA,CAFUNFO, 
ANGOLA,CANGAMBA, 
ANGOLA,CAPANDA, 
ANGOLA,CATUMBELA, 
ANGOLA,CAZOMBO, 
ANGOLA,CHITATO, 
ANGOLA,CUITO CUANAVALE, 
ANGOLA,DIRICO, 
ANGOLA,DOMBE GRANDE, 
